id,message,category
17,"Who has butterflies in their stomach? 🦋😉 Release! This summer, and next fall, you can definitely👌🏼

We are not limited to flowers, we add butterflies in all dimensions - tops, jewelry, bags, belts, shoes, and when autumn comes, it will come to jackets.

Catch it while the season and treat with care😉

#inspirationINVOGA",0
18,"A minute of beauty on the channel,  today we talk about manicures and a new trend - glazed manicure. The trend is gaining momentum; in social networks, we are looking for the tag #glazeddonutnails😉

A pearly, shimmery manicure like icing on your favorite cake🎂 or moonlight🌛 on a beautiful night sky.

The leading trendsetter of this beauty is Hailey Bieber. Still, many have already pulled themselves up, so I suggest we keep up 😉 A brief instruction is also on the network. I am attaching it 😉

#beautyINVOGA",0
19,"A simple life hack on how to make yourself denim leggings/boots a la Coperni, scissors in hand✂️ and around cabinets😂

#StylingMyself",0
20,"Another confirmation that denim shoes are back in earnest is Rosie Huntington-Whiteley's new collaboration with GIABORGHINI

Denim, rhinestones, and heels 💙 I liked the mules especially 👍🏼 I understand that only for dry weather, but suddenly, you have just such a 😉

#INVOGAchoice",0
21,"The latest cargo-pants styling from street style in Copenhagen 🤍

Oh, cargo, why do I love you so much? 💔

#inspirationINVOGA",0
22,"By the way, Copenhagen clearly showed and proved the relevance of Balenciaga's futuristic ""fly"" sunglasses, to be honest, I haven't tried them on yet, but the desire has appeared🕶

#INVOGAsunglasses",0
23,"Fashion week in Copenhagen is already in full swing, and we are happy to look at Danish street style🤎

My favorite pastime is looking at fashionistas on bicycles, two extra wheels give them some special chic 🚲

#inspirationINVOGA",0
24,"We haven't talked about the META space for a long time😊 Did you know that Paris Hilton is one of the most active ""inhabitants"" of the META universe?

Paris World is a virtual island 🏝 where you can ride a trendy sports car or a yacht and also see a digital copy of Paris' house in Beverly Hills. The star has already organized fashion shows in the same place - https://youtu.be/BeEjKkyUYB0.

Well, Paris Hilton plans to create her own digital brand.

#METAfashionINVOGA",0
25,"Loafers with socks and golfs - the aesthetics of beautiful university times🖤

1. The most uncomplicated and most understandable stylization is with a miniskirt
2. Playing with contrasts - with a long oversized jacket or a feminine dress
3. Softer quote - with a knitted dress
4. The lightest option - with cropped jeans

By the way, I met the point of view that ""loafers should not be mixed with thick socks"" I disagree and protest; socks can be any, including woolen - the only question is how much the size and width of the loafers allow😉

#shoes2022
#inspirationINVOGA",0
26,"Jeans are getting wider, longer and bulkier. Will be nice to add holes, fringes, a dropped fly and a low waist - in general, size matters, and the larger it is, the better this year.

In order to balance the character a little, you can staling it with heels, a tight top, a corset, a silk shirt - the play of opposites is always welcome👌🏼

#INVOGAdenim
#inspirationINVOGA",0
27,"See-through tops and dresses are a continuation of a naked theme we have been walking around for the second or third year. A common feature is a transparency and fitting - as a result, it turns out to be on the verge of frankness. Therefore we “land” with denim, heavy or sports shoes, and oversized silhouettes.

And you can wear it on bralettes, bandeau tops, or even on a naked body (for the city, I still recommend it, subject to the presence of an upper covering layer, although .... frank alternatives are also possible😉)

#inspirationINVOGA",0
28,"The atmosphere of summer Paris 💗 and a portion of style from the French blogger Ambre Deveaux 😘

Have you tried the game of bocce in the last video, beloved by Italians and French?

#inspirationINVOGA",0
29,"What a short-sleeved shirt looks like in summer 2022:

- loose fit
- extended wide sleeve (approximately to the elbow)
- classic straight or oversized fit
- you can experiment along the length - from shortened to long👌🏼
- classic or English collar

The easiest way is to borrow a men's one, the sleeve will most likely be elbow-deep, and the silhouette is just right😉

#inspirationINVOGA",0
30,"🌈Jump-start Your Bonus With Up to $5,000🍬🍬

We really value your support for Mc900.com! As a token of our appreciation, here are some exclusive offers for you to earn! Visit our Event Page or  Contact Us to join the Event.

⏳ 12 DAYS

📅Event Period: 

2022/7/19 00:00-2022/7/31 23:59 (UTC+0)

How to Participate：

From now on, Register an account and Topup(Minimum $50), you will earn up to $5,000 Bonus! Limited time offer, let’s trade with MC900.com and build your path to financial freedom

🎁 Prize

1. All new register users will receive 3 coupons to give you 3 times earning oppotunities

2. All the deposit client will earn up to $5000 Bonus

For more info, pls talk with our Client's Manager in the Telegram for more details: Click here to talk !

#promo",0
31,"Rings on the toes, of course, are not new and, frankly, not the most convenient accessory, but they convey the atmosphere of summer and relaxation perfectly. At Etro Spring 2023 Menswear, rings were used with pajama sets, linen shorts and trousers, classic blue denim, and even a summery white suit.

Although the show was for men, the idea is agender, so let's try!

#fashionweek",0
32,"Whenever in the summer! ☀️ Jeans with the lowest possible fit and flat stomachs are treacherously flashing this summer from all sides 😂 If so, why not? 😉

If you have already decided, do not cover the waist area - we wear it with crop tops, bralettes,  shortened T-shirts, and everything above the navel👌🏼 There is also a recommendation for models - do not choose tight fitting. Wide and straight models will look modern but NOT skinny.

#inspirationINVOGA
#INVOGAdenim",0
33,"Anna Dello Russo is the Italian queen of catsuits who is not afraid to look ridiculous 😊 Always on the verge of urban troubles, but, obviously, for this, she is loved in Italy and all over the world so much 💛

It is an excellent mood for Friday night💃🏼 Have a great weekend, everyone!!!

#inspirationINVOGA",0
34,"Pajama shorts, boxer shorts - call it what you want. The main thing is that this is the perfect option for the summer of 2022🤩

- the most relaxed option with top and shirt over, with leather flip flops or sneakers;
- a little more collected with a jacket draped over his shoulders
- and almost exquisite - with heels

In general, a precious little thing for a hot summer😊

#inspirationINVOGA
#INVOGAchoice",0
35,"Today we look at casual kimonos 👘 and some styling tips:

- we don't overdo it with the oriental and Japanese theme in everything else - be careful with clogs, with mules, it's better to choose an exquisite heel or vice versa sneakers.

- we collect the relaxation of the ""robe"" with a structured bag

- don't get carried away with bright accessories so as not to turn into a city crazy

And the perfect unmistakable pair ""for every day"" - kimono 👘 + jeans 👖

Are you experimenting with these silhouettes?

#inspirationINVOGA",0
36,"The trend for ""naked clothes"" is only gaining momentum every season. If it all started with harmless (at least as it seems to us now) translucent materials, now not just transparent things are in favor, but a complete imitation of a naked body.

Well, as an absolute embodiment of the Lotta Volkova x Jean Paul Gaultier collection.

#inspirationINVOGA",0
37,"A hat for the summer is my personal must-have (and in the cold seasons, I rarely wear them myself, although it looks lovely visually), so today we are talking about hat favorites for the summer of 2022:

- we still have huge wide-brimmed hats (thanks, Jacquemus 🙏🏼), especially like when they are asymmetrical

- hats with a brim pointing down, not very practical, but very beautiful👍🏼 Probably my favorite🧡

- hats - boaters - with a small straight brim

- knitted, which are more similar to panamas

- well, the eternal fedora hat, as long as I can remember, I remember it as much 🤫😂

#BabushkaStyle
#inspirationINVOGA",0
38,"How languidly hot 🔥 look knitted dresses in maxi length in summer performance: crochet, macramé, openwork inclusions, and revelry in colors - from neutral to bright and flashy colors.

If you haven't tried it yet, I recommend checking it out. From personal experience - although dresses seem to be transparent, they often weigh half a pood😂 Although it all depends on the technique, a banal physical fitting will help to understand the real weight👌🏼

#DreamDress",0
39,"Collars on dresses are an inexhaustible topic that we have been enjoying for more than a year. Infantilism, rusticism, girly motifs, or the image of a fatal ""teacher"" depends on the collar type and its character.

Lace, crochet, ruffled, millefleur print, rounded or edgy... yes, basically anything. I suggest you enjoy it.

 #inspirationINVOGA",0
40,"And today we are talking about straight midi or maxi skirts. And here I will talk about fairly dense textures that hold their shape. First of all, of course, denim 💙, as an alternative there are cotton or thick linen. For these skirts, the trend of slits on one leg is relevant (this makes them more comfortable when walking), but in general this is not necessary.

The straight skirt creates the silhouette of a column, as we continue to visualize how to style this skirt - we have an extension on the top and bottom of the column, as well as for this skirt.

With straight midi and maxi skirts, any massive shoes and a loose top look great, but you can limit yourself to one of these elements, for example, by choosing a massive platform and complementing the skirt with a tight-fitting long-sleeve, or vice versa, neat flat shoes and an asymmetric skirt tucked into oversized shirt. 

#YourSkirt
 #inspirationINVOGA",0
41,"And we are returning to the skirts, as promised. We will discuss, look at, and style each TOP for the summer of 2022.  And today - transparent skirts and mesh skirts are a hot hit.

At first glance, the trend is difficult to apply in real life, but it gets along well with the bottom layer:

- with trousers
- with an opaque skirt, it is natural that the lower skirt should be shorter than the upper one,

Well, if you have the courage😉:
-with a bodysuit,
- with a high-rise bikini.

Another opportunity to slightly reduce the degree of transparency is an elongated shoulder product - a masculine jacket, a long shirt, or even an oversized hoodie/sweatshirt.

An interesting 👌🏼 stylization is obtained with contrast knee-highs/stockings under a transparent skirt.

And I can give similar advices about transparent dresses, which are in no way inferior to mesh skirts in their popularity.

#YourSkirt
 #inspirationINVOGA",0
42,"Good Saturday morning with an excellent example of how a basket can become the perfect handbag❤️

Read more about beach and wicker bags in the city here.

#INVOGAbags
#inspirationINVOGA",0
43,"Gemes and rhinestones got to Swarovski sunglasses, of course, not an option for every day, but on the other hand, why not? 😊

By the way, the line of new Swarovski jewelry itself causes me extremely positive emotions and a desire to attach a couple of bracelets and necklaces to my arms and neck. The rings are also a success💙

#INVOGAsunglasses",0
44,"A unique chic of summer is a beach bag in the city. I beg you🙏🏼, do not deny it😉 It can be a straw bag, a huge-tote, a basket, or a mesh.

These beach guests look great with jeans, any linen and natural materials, classic trousers and suits, and even joggers. The most dangerous option - with breezy summer sundresses - may turn out to be too beachy🤷🏼‍♀️ and out of place.

#INVOGAbags
#inspirationINVOGA",0
45,"Today, a new collection of Skims Romance goes on sale. In honor of this, we admire Kim in transparent ruffles and flounces 😉😊

#inspirationINVOGA
#heart_to_heart",0
46,"And let's take a break🧘 from the boom of color, brightness, and brilliance that came to us along with the 2000s.

I am sure that among you, despite everything, there are adherents of calm monochrome - and today, total beige is a charming palette that gives peace and warmth. And in beige monochrome (as well as, in principle, in any other monochrome), contrasting textures are good - fluffy with smooth, shiny with matte, shaggy with leather, etc.

Well, if not total, then beige is beautiful with white and black, green (but not acidic😉), brown, and red. I also really like the non-trivial combination of beige with blue and with an animal print, for example with a cow🐄 or a tiger 🐯

#ADDcolors
#inspirationINVOGA",0
47,"On a sultry day off, the queue to the Italian Gelateria for Italian ice cream looks exactly like in the Jacquemus commercial - everyone is there😂 And everyone has one dream - 🍦

Right now, I’m standing and melting. I hope summer has reached you too😘 Have a wonderful Sunday, everyone!

#inspirationINVOGA",0
48,"Zara is not the only one that masters digital fashion from the mass market. Stradivarius also has the first Blueming digital collection - nine options costing 2-6 euros.

Available only through the application, here is the instruction for those who wish:

1. Go to the Stradivarius app
2. Next to the ""digital fashion"" section
3. Upload your photo
4. We try on everything that we like for free
5. If you like something, buy and share a photo.

Let's try?

#METAfashionINVOGA",0
49,"Today I will tell you about the TOP-5 skirts of summer 2022:

1. Mini and even micro, for total trendiness in low rise and pleated
2. Denim and cotton midi and maxi
3. With slits and cutouts, asymmetrical
4. Shiny and shining
5. Mesh

#YourSkirt
#inspirationINVOGA",0
50,"If, suddenly, you just need inspiration for crazy makeup, then look for it on Coachella❤️

Colored arrows, rhinestones, sequins, infantile flowers, bright colors - it's the best thing for the coming summer☀️

#beautyINVOGA",0
51,"So far, the craziest digital collection I have seen (although many of you will say that they are all like that 😂) is AVAVAV.

Their NFTs could be bought after the first digital fashion week of Eternal 22.

#METAfashionINVOGA",0
52,"Girly ballerinas become even more infantile with straps, chains, and ankle laces.

I really like the wide understanding of Merry Jane, especially with chains and pearl laces, as in the Simone Rocha show, and if also with knee socks, then generally love🤍

#inspirationINVOGA
#YourSocks",0
53,"There are sisters Hadid as the perfect couple for the Fall 2022 Valentino collection PR, although fuchsia pink no longer needs PR 💗😂

A few favorite exits from the show from which the fuchsia boom went viral are attached. In fuchsia💗 masculine suits, capes and coats, cargo, men's total-pink variations, and curly cutouts look unrealistically cool. Black🖤 is good with cutouts and slits, transparency, gloves, and bare shoulders.

#fashionweek
#inspirationINVOGA",0
54,"One of the most seductive tops for the summer is a suit vest. You can borrow it from the three-piece suit or just buy it separately.

We use it as a top on a naked body - with trousers, jeans, bermuda shorts, it can be either in the color of the bottom or in a contrasting color.

Depending on the silhouette you choose, the effect will be very different. Fitted (by the way, this is one of the few details of our wardrobe that is still fitted 😉) and shortened - more femininity and sexuality, while oversized and elongated - more relaxed and casual.

#INVOGAtops
#inspirationINVOGA",0
55,"The first eco-activist among brands is Stella McCartney, in her case, these are not empty words. Grape cake, eco-leather from the root structure of mushrooms, and many more eco-materials are in the Resort 2023 collection.

Particular attention (as always) in the collection is paid to:

- prints (mushrooms🍄, stripes, animals🐯🐄🦜 and animalistic)
- textures, the variety of which is great
- shapes (slits, fringes, the effect of ruggedness and perforation, the latter are generally given the central place of this collection, and the perforations are not on leather but cotton).

The lookbook was filmed on an Italian farm❤️

 #fashionweek",0
56,"Digital Couture - Dolce & Gabbana NFT Genesis Collection

Exclusively 16,000 hours handmade . The collection is presented digitally and physically and inspired by the Venetian culture.

#METAfashionINVOGA",0
57,"Today I will tell you one more elementary way to style your hair (and yes, it works even if it is not too clean😉 and even if there is not a lot of time) - a low tail/pigtail.

There is only one rule - we ""hook"" the hair as low as possible at the neck, and then - whoever is in what much:

- pigtail
- leave fluffy and straight, and cover the elastic with a strand of hair
- rewind with laces
-leave fluffy and add some waves
- artificial chaos
- add bows and ribbons

Inspiration attached👆🏼

#hairstyle",0
58,"Good summer morning! Happy start of summer, everyone! ☀️
And on this occasion - feathers  🦚

Bright fluffy, contrasting or nuanced, on shirts, tops, kimonos, coats, suits, and jeans - everything will do👌🏼

It is better if they come unfastened😉 this will significantly prolong their life and the things they cling to.

#inspirationINVOGA",0
59,"Light positive, loving shooting for the cover of the June British Vogue from the young Peltz-Beckham couple.

All the mood in love with life!🤍

#inspirationINVOGA",0
60,"Glasses with colored glasses became a serious part of our lives last summer, and they are not planning to go anywhere this year.

What about colors:

💛Yellow glasses are still in the lead (from last summer 2022)
🧡Orange glasses create competition for them (orange is generally one of the most relevant in the summer of 2022)
💙 Blue and light Blue

#INVOGAsunglasses",0
61,"Hairpins everywhere, hairpins in large quantities, hairpins of various types and types, hairpins in any way - this summer, we are experimenting with hairpins, and we are not afraid to overdo it 😉

A few ideas above👆🏼😉 

#hairstyle",0
62,"For those who are not afraid of easy (well, or even not relatively easy) negligence, I suggest the following way of styling trousers - an inverted waist. It all started with Jacquemus (although I won't say 100%, there may have been precedents before, but massively exactly from him), and then it started.

Now a contrasting (often, as if from lining fabric) deconstructive top of trousers is a hot feature of brands and influencers.

If you are not ready to buy yet but desire to try, just turn the waist on your favorite trousers, you can fix it a little, or just iron it, and you're 👌🏼done. Straight or wide trousers with a loose fit are suitable for styling.

#inspirationINVOGA
#StylingMyself",0
63,"And a separate reason to smile is the process of packing evening dresses into cars😂 In Cannes, such a spectacle can be seen everywhere😉

#inspirationINVOGA",0
64,"Bella Hadid at the Cannes Film Festival

I can’t express the delight that most of her appearances have caused me this time - gorgeous!

🤍Versace corset dress with a cutout on the leg
🖤🤍Black and white dress with Chopard jewelry
🖤Vintage dramatic black Versace
💙Dark blue Versace with a deep neckline

#inspirationINVOGA",0
65,"Cargo pants have gone so deep and far that even such an unexpected pair as Kim Kardashian + cargo could not do without it🙈

Although, in my opinion, a much more successful trendsetter for cargo is Emily Sindlev, Bella Hadid, or Pernille Teisbaek.

What do you think?😉

#inspirationINVOGA",0
66,"How beautiful denim midi, and even better maxi!

Here are some ideas:
- with the same T-shirt alcoholic, which has already been discussed many times;
- With a white T-shirt;
- with a crop top;
- with a semi-unbuttoned cotton shirt;
- with a silk blouse;
- to the skin;
- with a tweed jacket;
- in total denim.

If you are afraid of height - add heels. If you are calm on this issue - sneakers, flip flops, slipons, sandals, and mules.

#INVOGAdenim
#inspirationINVOGA",0
67,"💜Neon as a desire for brightness
👽Neon is like a drop of modern futurism
💃🏼Neon as a way to express yourself

What are neon shades for you?

By the way, neon colors whiten the skin, so it may be too much for white skin.

#ADDcolors
#inspirationINVOGA",0
68,"The modern analog of Tamagotchi and robotic dogs is a dog🐶 in digital form. Digital Pets creates pets based on artificial intelligence and releases them as NFTs. It will be possible to walk with them, as you may have guessed in the METAverse.

Well, I’m telling this all to the fact that even though the direction is still in its infancy, you can already buy digital clothes for pets, only while it is somehow not very fashion🤷🏼‍♀️ There is something to strive for😉

#METAfashionINVOGA",0
69,"Have you already heard that Rihanna's baby was born? 😊 And this is a boy 👶🏽 The name has not been revealed yet.

Congratulations to the young mother! 🎉 And in honor of this event, today we are considering the most-most pregnant outfits Rihanna in recent months.

I have a couple of favorites, do you? By the way, it was Ree who gave us the trend to bare tummies despite the duration of pregnancy🤰

#inspirationINVOGA",0
70,"If you suddenly decide to impress everyone with your hair, I suggest taking a incredible work by Mitsuki Jurk as a reference. 

Hollywood wave with pigtails, asymmetric tails, and braids, geometric parting, a mix of different types of braids, braids + natural flowers🌸🌼🌺🌹🌷

When the head and hair are like a picture 🖼, and the hairdresser is like an artist 👩‍🎨

#hairstyle",0
71,"Let's see how digital virtual dresses look on real people (sorry for this pun, but you can't say more precisely😉)

Beautiful work by Tribute Brand - these mermaid dresses, glossy textures, and puffy details are worth looking at 💜

#METAfashionINVOGA",0
72,"If you ever thought that it would be nice to fit all these oversized blasers, then today's style is for you👌🏼

Yes, yes, a wide blazer can be artificially fitted:

- with a belt, just do not do this by carefully fastening the strap and tucking in the tip; on the contrary - the more casually, the better. 
 - peplum or sword belt, but only recently we put them away in a distant closet, but this year, it seems, or rather, for sure - we returned.
- belt-bag, everything here is similar to a belt, but only more functional👌🏼

#inspirationINVOGA
#StylingMyself",0
73,"Here are some simple trench coat styling tips:

- trench coat + baseball cap = 💜 Looks really great👍🏼
- a trench coat with any sports details - with sneakers, leggings, socks, hoodies, etc.
- throw a sweater over your shoulders 
- do not fasten with buttons, but tighten with a belt

What to do with sleeves:
- pick up sleeves
- tighten the sleeves tightly with tabs to create a slight bubble effect
- leave the sleeves of the maximum length in free flight

How to tie a belt:
- tie in a sloppy knot, but do not fasten
- if the trench coat is unbuttoned - tie the belt at the back. This will focus on the waist
- if the belt is long, leave one end hanging on the floor

#StylingMyself
#inspirationINVOGA",0
74,"Mahmood & Blanco, representing Italy last night at Eurovision, were probably the most stylish 💗

At the performance itself, Mahmoud was in a Prada FW22 suit. Blanco was in Valentino couture, and before the press, the guys appeared even brighter: Mahmoud in pink Willy Chavarria trousers, Blanco in total Valentino from the last show.

How are you? 😉

#inspirationINVOGA",0
75,"Several options to ""play"" with a regular shirt:

- fill asymmetrically (front only, rear only, sideways)
- deliberately carefully fasten, including the top button, and tuck
- unbutton sleeves
- beads/decoration under the collar
- put on a scarf (for decorative purposes😉)
- on a T-shirt
- on or under the corset
- with a miniskirt, so that there is an effect that they put on without everything
- back to front
-carelessly straighten out from under a hoodie / sweatshirt
- double shirt

Do you have any favorite styling options?

#StylingMyself
 #inspirationINVOGA",0
76,"The Fendace collaboration went on sale today.

If you look at the details separately, I like it: a cap with the Fendi logo, pins on the dress, the idea of a branded lining is not new, but it also looks good - in general, it’s not bad separately, but all together - for an amateur🙈 The video fully conveys the nature of the collection 😉

#fashionweek",0
77,"Loewe is the undisputed leader in spring-summer 2022 heels.

The most desirable heels of this year in the form of soap, candles, eggs, or roses - the more I look, the more I wish🤤

#inspirationINVOGA
 #shoes2022",0
78,"Why is knitwear considered a lot of autumn and winter? 😉

We add a little more color and have a wonderful spring outfit. And before the upcoming weekend, the idea is especially relevant👌🏼 - comfortable, cozy, and just beautiful💛

#inspirationINVOGA",0
79,"I'm sure many of you know that the iconic Chanel ballet shoes were designed and thought out to visually reduce the size of the legs. 😉 So, the ""ballet"" classics are back in trend. This year there will be very, very many of them again.

It can be classic ballerinas or slingbacks with heels, and also (my favorites) - Merry Jane, but all of them are always united by a black sock🖤

#inspirationINVOGA",0
80,"There are still those who doubt the logo-madness of the world around us, then Gucci will fix it😉

Would you like to be in a Gucci room with Gucci walls, floors, and furniture, try a Gucci cake, or drive a Gucci car?
Oh, and these Gucci nails are generally crazy🤪

#inspirationINVOGA",0
81,"The Etro collection looks very funny in a digital version at MVFW. Branded paisley cucumbers are still associated with ethnicity, originality, and history and not with the virtual world.

Although, if we consider the META-universe as a new culture, then we can proclaim this show as a connection of times 😉

The trends we have here - are cut-out dresses, asymmetry, and bright colors.

#METAfashionINVOGA

Of the trends we have here - cut out dresses, asymmetry, bright colors.

#METAfashionINVOGA",0
82,"Feathers have definitely earned the title of the fashion symbol of 2022. And even if you think that this is too much and does not fit into your wardrobe, I just want you to know: the best company for feathers is essential things.

Feathers with the most simple textures, such as cotton and denim. Feathers with basic colors (white, black, beige), but if feathers are bright colors, then mostly without prints. Feathers without too much competition. There are ways to incorporate feathers into your everyday wardrobe😉

Did you already try?

#inspirationINVOGA",0
83,"A separate art form is Leoni's outfits at Coachella 2022. It turned out extremely nice💜

Fringe, rhinestones on the face, swimwear - as the basis of the outfit, mesh, heel + platform, pigtails, STATEMENT jewelry, lace-up shoes, beads, butterflies in the ears - a short course of the upcoming summer trends👌🏼😉

#inspirationINVOGA",0
84,"In the trends of spring-summer 2022, the marine theme has been repeatedly noticed, and most of all, mermaids🧜‍♀️

And if you hardly need a real mermaid tail, then the idea of virtual scales🐟 or octopus tentacles🐙 does not look so hopeless😉

#METAfashionINVOGA",0
85,"Incredible shoes aesthetics in the new Zara lookbook, the way they present their shoes is worthy of applause 👏🏼

#shoes2022",0
86,"We continue about the top leaders for spring-summer 2022, and the next step is a detailed discussion of CORSETS.

A corset is a must-have in 2022, and depending on your preferences, it can be vintage, modern, or sporty.

I also suggest stylizing it in different ways. The main goal is to get away from direct boudoir association. Here are some ideas:

- maximum contrast - a corset with jeans (you can even torn ones) or joggers;
- classic - a corset for a shirt or blouse;
- neo-classic - a corset with a masculine suit;
- frankness - corset and mini;
- sexy - corset with leather bottom;
- surprise - a corset with cycling shorts.

Which option do you like more?

#inspirationINVOGA
#INVOGAtops",0
87,"Incredibly 💜beautiful shooting of pregnant Rihanna for Vogue.

By the way, she is wearing an Alaia lace jumpsuit on the cover. Remember the other day we discussed their heart-shaped handbags that conquer the world. The brand is clearly starting a new life, remember and follow😉

#inspirationINVOGA",0
88,"Paco Rabanne x Selfridges presented us with a collection of 56 NFTs, and a dozen of them are insanely exciting and deserve attention❤️‍🔥 12 archive dresses from the 1966s collection of Paco Rabanne.

You can find ""vintage"" (and not only) NFTs on the Selfridges website.

#METAfashionINVOGA",0
